type,id,category,file,source,score
unit,hellion,attack,Hellion_Attack01.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack01.ogg,205
unit,hellion,attack,Hellion_Attack02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack02.ogg,205
unit,hellion,attack,Hellion_Attack03.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack03.ogg,205
unit,hellion,attack,Hellion_Attack04.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack04.ogg,205
unit,hellion,attack,Hellion_Attack05.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack05.ogg,205
unit,hellion,attack,Hellion_Attack06.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Attack06.ogg,205
unit,hellion,death,Hellion_Death02.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Death02.wav,205
unit,hellion,death,Hellion_Death03.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Death03.wav,205
unit,hellion,death,Hellion_Death04.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Death04.wav,205
unit,hellion,death,Hellion_Death05.wav,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Death05.wav,205
unit,hellbat,deploy_move,Hellion_Yes02.ogg,TMG_CANDIDATES/mods/liberty.sc2mod/enus.sc2assets/LocalizedData/Sounds/TerranUnitVO/Hellion/Hellion_Yes02.ogg,205
