asset_path,sha256,unit_audio_id,runtime_roles
audio/classic/units/hellion/chatter/alias_vulture_tvupss00__5b047123eb.wav,5b047123ebaa555a42c8ab894f25b7d1bef13a24439c023f0b78ea7e246ca9b7,hellion,chatter
audio/classic/units/hellion/chatter/alias_vulture_tvupss01__0438ee2879.wav,0438ee28795f439e7fb343cce833bb535b13955280823ecd2d59d4dbcb06990e,hellion,chatter
audio/classic/units/hellion/chatter/alias_vulture_tvupss02__3e4e734a41.wav,3e4e734a4180e7346b903fb100442428a68bbe28877490c5e24ae82df45f4b38,hellion,chatter
audio/classic/units/hellion/chatter/alias_vulture_tvupss03__50dec351ff.wav,50dec351ff1cdf8338b957bba5a820587b61afd01886c1002bb209aa93f5fe15,hellion,chatter
audio/classic/units/hellion/move/alias_vulture_TVuWht00__2a8d46b65c.wav,2a8d46b65c061b055d470902530ae7d8799088778aa5d8d388a553fd93a26033,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvurdy00__1e8040dfb1.wav,1e8040dfb1c0a944a4fbcb853b00da9deb7deba8c034d8c35ee92c30b79cb7bc,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuwht01__c533b7c835.wav,c533b7c83557d3c335b43f03faf521a9f5391347591f060888dc2c840564ea93,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuwht02__d86d65c703.wav,d86d65c703756ccaea844e9d99d9ce5d7420ee1fe8f2af1536ea3d7831127d34,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuwht03__4b61c942cc.wav,4b61c942cc95fc3768bcd6afb8bbd7a67c2b4f59585ea914667b3451c9839b8b,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuyes00__77980ed04f.wav,77980ed04f16b6edda1afea9f9b305c9fb0912cad1a7a6955121fd2c25bf1979,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuyes01__86c00db3d2.wav,86c00db3d21b782fa27322f7547de0209ca7b818cdc79eb1741be585de139812,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuyes02__df21b87536.wav,df21b87536b2076282730890a981e9ff8272009a4f280dbdab3140735e9b161e,hellion,move
audio/classic/units/hellion/move/alias_vulture_tvuyes03__e95157ff3b.wav,e95157ff3bf7de54b472243eef6152a1ebc5c80aea9c1b205b323cb51ebbd317,hellion,move
audio/classic/units/high_templar/attack/alias_high_templar_pteYes00__6af9e4f073.wav,6af9e4f0730b74f91cc3c3c738652e1a72d687ff06ed0534f314aaca54355460,high_templar,attack
audio/classic/units/high_templar/attack/alias_high_templar_pteYes01__226bb43179.wav,226bb43179ca9aa1d0526362873467a4de5ac13e916828d1bbb05db92b2955b6,high_templar,attack
audio/classic/units/high_templar/attack/alias_high_templar_pteYes02__1f334b2097.wav,1f334b2097a2781f7ee3c7b3fe7216efebc2e9398b0bc4915bf1ddfa4e0a86a3,high_templar,attack
audio/classic/units/high_templar/death/pteDth00__7a5545dba5.wav,7a5545dba5dd96af6334b119886d6fa327ecf343340a66618ad148ca3cfef977,high_templar,death
audio/classic/units/high_templar/move/pteYes00__6af9e4f073.wav,6af9e4f0730b74f91cc3c3c738652e1a72d687ff06ed0534f314aaca54355460,high_templar,move
audio/classic/units/high_templar/move/pteYes01__226bb43179.wav,226bb43179ca9aa1d0526362873467a4de5ac13e916828d1bbb05db92b2955b6,high_templar,move
audio/classic/units/high_templar/move/pteYes02__1f334b2097.wav,1f334b2097a2781f7ee3c7b3fe7216efebc2e9398b0bc4915bf1ddfa4e0a86a3,high_templar,move
audio/classic/units/immortal/attack/alias_dragoon_PDrYes01__c8a0935d59.wav,c8a0935d5996d9b1642965921c067f608cc4e5869c52d7ce38f0c971fc5f2ca3,immortal,attack
audio/classic/units/immortal/attack/alias_dragoon_PDrYes04__fdad8f8db6.wav,fdad8f8db62caf86e1536fd33977d7566d2e18b21d6684007f390d67bdf1d56c,immortal,attack
audio/classic/units/immortal/chatter/alias_dragoon_PDrPss00__1d47f3219f.wav,1d47f3219fdf8a706f30d1e3ea3682b7eb2027fb9dba418cb0246cc833765464,immortal,chatter
audio/classic/units/immortal/chatter/alias_dragoon_PDrPss01__f6d00ba046.wav,f6d00ba0467b9e790240795d1628e880023863764b7fd635fbd23556d64751dd,immortal,chatter
audio/classic/units/immortal/chatter/alias_dragoon_PDrPss02__b7ed3b90d6.wav,b7ed3b90d65301e7f749be64ecd218b529299230634a26bbb8368b31041ba34a,immortal,chatter
audio/classic/units/immortal/chatter/alias_dragoon_PDrPss03__fa6a8d924a.wav,fa6a8d924a8a9a3c00f974807d2b4bc59599019cabb567ea4fb787770d6e7097,immortal,chatter
audio/classic/units/immortal/move/alias_dragoon_PDrWht00__b755ef97f9.wav,b755ef97f9dcb5f1426df2905ce17258eb875fd1bdbbad742f4d097502005d37,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht01__1f21129326.wav,1f21129326afa39d7c64489095810c973a85f26fa99932f1d4ee31c23db65a70,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht02__70b44c2406.wav,70b44c2406cf819f2ded5a7a0049a06a136d14a014443b67cd3525976635e348,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht03__59a766cf77.wav,59a766cf77c591e9c87755956f0a0976ab1b59c66aa257d70af1465ddaa34536,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht04__3c4611436f.wav,3c4611436fb322af829377c028194a730a9535fde08593218d370ea1842839ae,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht05__b4fe7d4e61.wav,b4fe7d4e610a8d85fe66757876b909ae6cf1179609b7fca72e27078cac8e9271,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrWht06__da3b0af41d.wav,da3b0af41db99bbdd145b5ddad4356f6c2fcf9ae869bacbb53e99b51c07ae5e1,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes00__94b5f6ac91.wav,94b5f6ac91b18f554eb4147d140636312b8d8f2a301518cf330afda387859396,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes01__c8a0935d59.wav,c8a0935d5996d9b1642965921c067f608cc4e5869c52d7ce38f0c971fc5f2ca3,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes02__6af6ced60a.wav,6af6ced60a63b786a5308ee92732115c0a663303e9816d9ca0ff6c1aff28dbbc,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes03__b04819a6be.wav,b04819a6bef914f01a494038578d4aef9e8ae9f0e472da24bcc228c014767a04,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes04__fdad8f8db6.wav,fdad8f8db62caf86e1536fd33977d7566d2e18b21d6684007f390d67bdf1d56c,immortal,move
audio/classic/units/immortal/move/alias_dragoon_PDrYes05__8870a56b53.wav,8870a56b53ca93bd0d4eb05d409aceff534dfa0d472f7a0df8ec4b2d1784ec89,immortal,move
audio/classic/units/immortal/move/alias_dragoon_pdrRdy00__354740bebf.wav,354740bebf1b8eb35b404801fc79c4192beab7e793b38ee6b130f7816f1d4479,immortal,move
audio/classic/units/jim_raynor/death/URaDth00__2f6776cc1a.wav,2f6776cc1a1cfad52a0a62d90825081fab3a0752e3ec15bc7f15ef3b7ea777e2,jim_raynor,death
audio/classic/units/jim_raynor/death/URaDth01__5c9d5b23c3.wav,5c9d5b23c3be60d61405d39e1b208fd3993b7cf9b029a13474025d8da99145d2,jim_raynor,death
audio/classic/units/marine/attack/alias_marine_TMaYes00__252c5e57fb.wav,252c5e57fb3503ec351a83d0b2dcd3cecab48f6d08a503ce2700bcec15ef523f,marine,attack
audio/classic/units/marine/attack/alias_marine_TMaYes01__af140ca7c3.wav,af140ca7c353f82301de23cedcb634aa8bc916c444c1b8e0d36d459e7b2dc7c8,marine,attack
