asset_path,roles,source,sha256
audio/units/dark_templar/canonical/372f3153649ac77b__DarkTemplar_Death00.wav,death,SC2 game-data canonical recovery,372f3153649ac77b65c8a1c04db760876b44e34bc653a6d0035d6cb984f01728
audio/units/dark_templar/canonical/7c6853f1ce1769da__DarkTemplar_Ready00.ogg,move,SC2 game-data canonical recovery,7c6853f1ce1769da9f4791d0e6378e28453e10f965738295f447e8a102048e27
audio/units/dark_templar/canonical/9b6e8f550e53f1c5__DarkTemplar_What00.ogg,move,SC2 game-data canonical recovery,9b6e8f550e53f1c54dc94d1b7847e713c57d544331f8043b8c8cb3e956d7b4d1
audio/units/dark_templar/canonical/d9cdc20ae79505b5__DarkTemplar_What01.ogg,move,SC2 game-data canonical recovery,d9cdc20ae79505b5887b356a35a2b024b33bb6be19fb9a42e17546b2c54bf56a
audio/units/dark_templar/canonical/8ab32ca6d551d3a1__DarkTemplar_What02.ogg,move,SC2 game-data canonical recovery,8ab32ca6d551d3a1accfcee4ce18764f4c419f65c893715eae97b6c7b694b3e8
audio/units/dark_templar/canonical/884aeebe7ae7ef3e__DarkTemplar_What03.ogg,move,SC2 game-data canonical recovery,884aeebe7ae7ef3e1b31db8c0d912bddbf59c7b8bf762925f7f975ca296e7929
audio/units/disruptor/canonical/6135530ab9a01aa4__RobotPusher_Pusher_019.ogg,attack,SC2 game-data canonical recovery,6135530ab9a01aa477c21752c80a1ed38d1cc2f0357fa66c40fc35a8c19fe662
audio/units/disruptor/canonical/7d8cb3d130b7917e__RobotPusher_Pusher_020.ogg,attack,SC2 game-data canonical recovery,7d8cb3d130b7917ed1b659a136e6e9e49efd6000dcd62f17eba6c9db324e60de
audio/units/disruptor/canonical/9817a9ee657f0b7b__RobotPusher_Pusher_021.ogg,attack,SC2 game-data canonical recovery,9817a9ee657f0b7b960e0a916e2dd68911419e7e3eef066362fb06d31935406d
audio/units/disruptor/canonical/c55ec227ea7014ef__RobotPusher_Pusher_022.ogg,attack,SC2 game-data canonical recovery,c55ec227ea7014efc77f8756a8742682e5c2e972c7323292066d485e742a8339
audio/units/disruptor/canonical/c305409f8c2202c4__RobotPusher_Pusher_023.ogg,attack,SC2 game-data canonical recovery,c305409f8c2202c43715344cc92ae96649a8d6fd7b382f229cbb476ecdddd5ff
audio/units/disruptor/canonical/5a4d823590027dd1__RobotPusher_Pusher_028.ogg,chatter,SC2 game-data canonical recovery,5a4d823590027dd13d265338e468709bf3749e395253b8af9ac3efbad280c884
audio/units/disruptor/canonical/3aaba1cc1543b3fc__RobotPusher_Pusher_029.ogg,chatter,SC2 game-data canonical recovery,3aaba1cc1543b3fc8b6fa7beb13bda61552647a32b4b0bc36f3785d93971be22
